station_ID,id_at_source,available_data,source_URL,latitude,longitude,description,site_params
USGS_11341400,11341400,"{""conditions"": [""max_temp(C)"", ""min_temp(C)"", ""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11341400""]}",41.26654165,-122.311677,SACRAMENTO R NR MT SHASTA CA,{}
USGS_11482468,11482468,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11482468""]}",41.3220674,-124.0206264,LITTLE LOST MAN C A SITE NO 2 NR ORICK CA,{}
USGS_11482500,11482500,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11482500""]}",41.2992896,-124.0511825,REDWOOD C A ORICK CA,{}
USGS_11485000,11485000,"{""conditions"": [""max_temp(C)"", ""min_temp(C)"", ""avg_temp(C)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11485000""]}",42.17319444,-121.618361,"LOST RIVER AT OLENE, OR",{}
USGS_11486990,11486990,"{""conditions"": [""avg discharge (cfs)"", ""outflow(m3/d)""]}","{""url"": [""https://waterdata.usgs.gov/monitoring-location/11486990""]}",42.1676459,-121.776391,"LOST R DIVERSION AT TINGLEY LN NR KLAMATH FALLS,OR",{}
USBR_AGA,AGA,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AGA&ui=true&interval=daily""]}",42.415,-122.77222222222224,"Agate Dam and Reservoir near Medford, OR",{}
USBR_ALNO,ALNO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALNO&ui=true&interval=daily""]}",45.73361111111111,-119.20416666666668,"Allen Canal at Echo, OR",{}
USBR_ALPY,ALPY,"{""conditions"": [""outflow(m3/d)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALPY&ui=true&interval=daily""]}",43.19611111111111,-110.88944444444444,"Snake River above Reservoir near Alpine, WY",{}
USBR_ALTO,ALTO,{},"{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=ALTO&ui=true&interval=daily""]}",45.81361111111111,-119.35777777777776,"A-Line Canal (Terminus) nr Hermiston, OR",{}
USBR_AMF,AMF,"{""conditions"": [""wse(m)""]}","{""url"": [""https://www.usbr.gov/pn-bin/inventory.pl?site=AMF&ui=true&interval=daily""]}",42.77916666666667,-112.87916666666666,"American Falls Reservoir at American Falls, ID",{}
